0.0145% is done | total is: 1265031976 | total time: 294.781secs | previous time: 2.807secs
0.0146% is done | total is: 1277924728 | total time: 297.775secs | previous time: 2.994secs
0.0147% is done | total is: 1290809200 | total time: 300.786secs | previous time: 3.011secs
0.0148% is done | total is: 1304096536 | total time: 303.596secs | previous time: 2.809secs
0.0149% is done | total is: 1317240616 | total time: 306.471secs | previous time: 2.875secs
0.015% is done | total is: 1330433320 | total time: 309.468secs | previous time: 2.997secs
0.0151% is done | total is: 1342865608 | total time: 312.332secs | previous time: 2.863secs
0.0152% is done | total is: 1356054352 | total time: 315.212secs | previous time: 2.880secs
0.0153% is done | total is: 1369832560 | total time: 318.155secs | previous time: 2.943secs
0.0154% is done | total is: 1383165960 | total time: 321.257secs | previous time: 3.102secs
0.0155% is done | total is: 1396585392 | total time: 324.142secs | previous time: 2.884secs
0.0156% is done | total is: 1410489096 | total time: 327.127secs | previous time: 2.985secs
0.0157% is done | total is: 1424157984 | total time: 330.164secs | previous time: 3.037secs
0.0158% is done | total is: 1437213024 | total time: 333.255secs | previous time: 3.090secs
0.0159% is done | total is: 1451153064 | total time: 336.263secs | previous time: 3.008secs
0.016% is done | total is: 1465124472 | total time: 339.265secs | previous time: 3.002secs
0.0161% is done | total is: 1479119688 | total time: 342.485secs | previous time: 3.220secs
0.0162% is done | total is: 1492345968 | total time: 346.038secs | previous time: 3.553secs
0.0163% is done | total is: 1506631688 | total time: 349.150secs | previous time: 3.112secs
0.0164% is done | total is: 1520684432 | total time: 352.163secs | previous time: 3.012secs
0.0165% is done | total is: 1535050208 | total time: 355.236secs | previous time: 3.073secs
0.0166% is done | total is: 1548932216 | total time: 358.282secs | previous time: 3.046secs
0.0167% is done | total is: 1562964200 | total time: 361.805secs | previous time: 3.523secs
0.0168% is done | total is: 1577449424 | total time: 364.868secs | previous time: 3.063secs
0.0169% is done | total is: 1590532088 | total time: 368.086secs | previous time: 3.217secs
0.017% is done | total is: 1604221064 | total time: 372.134secs | previous time: 4.049secs
0.0171% is done | total is: 1618575344 | total time: 375.271secs | previous time: 3.136secs
0.0172% is done | total is: 1633815736 | total time: 378.383secs | previous time: 3.112secs
0.0173% is done | total is: 1648580656 | total time: 381.630secs | previous time: 3.247secs
0.0174% is done | total is: 1662306064 | total time: 384.714secs | previous time: 3.083secs
0.0175% is done | total is: 1675604608 | total time: 388.016secs | previous time: 3.302secs
0.0176% is done | total is: 1690707736 | total time: 391.349secs | previous time: 3.333secs
0.0177% is done | total is: 1705283104 | total time: 395.105secs | previous time: 3.756secs
0.0178% is done | total is: 1720636648 | total time: 398.254secs | previous time: 3.149secs
0.0179% is done | total is: 1734195232 | total time: 401.425secs | previous time: 3.170secs
0.018% is done | total is: 1748323504 | total time: 407.869secs | previous time: 6.444secs
0.0181% is done | total is: 1763811024 | total time: 416.763secs | previous time: 8.894secs
0.0182% is done | total is: 1778138760 | total time: 425.697secs | previous time: 8.934secs
0.0183% is done | total is: 1792520904 | total time: 435.159secs | previous time: 9.463secs
0.0184% is done | total is: 1807810512 | total time: 440.033secs | previous time: 4.874secs
0.0185% is done | total is: 1823196024 | total time: 443.848secs | previous time: 3.815secs
0.0186% is done | total is: 1836441648 | total time: 447.170secs | previous time: 3.322secs
0.0187% is done | total is: 1851598320 | total time: 450.580secs | previous time: 3.410secs
0.0188% is done | total is: 1867599072 | total time: 453.874secs | previous time: 3.293secs
0.0189% is done | total is: 1881251544 | total time: 457.087secs | previous time: 3.213secs
0.019% is done | total is: 1896111152 | total time: 460.398secs | previous time: 3.311secs
0.0191% is done | total is: 1913038136 | total time: 463.709secs | previous time: 3.311secs
