0.0128% is done | total is: 1048440696 | total time: 249.746secs | previous time: 2.621secs
0.0129% is done | total is: 1060698864 | total time: 252.554secs | previous time: 2.807secs
0.013% is done | total is: 1073762592 | total time: 255.318secs | previous time: 2.764secs
0.0131% is done | total is: 1085539632 | total time: 258.043secs | previous time: 2.725secs
0.0132% is done | total is: 1097924640 | total time: 260.799secs | previous time: 2.755secs
0.0133% is done | total is: 1110578400 | total time: 263.673secs | previous time: 2.874secs
0.0134% is done | total is: 1123225656 | total time: 266.455secs | previous time: 2.780secs
0.0135% is done | total is: 1135238184 | total time: 269.202secs | previous time: 2.747secs
0.0136% is done | total is: 1148930168 | total time: 272.111secs | previous time: 2.909secs
0.0137% is done | total is: 1160871656 | total time: 275.024secs | previous time: 2.912secs
0.0138% is done | total is: 1173786368 | total time: 277.837secs | previous time: 2.813secs
0.0139% is done | total is: 1185797288 | total time: 280.653secs | previous time: 2.816secs
0.014% is done | total is: 1200276584 | total time: 283.474secs | previous time: 2.820secs
0.0141% is done | total is: 1212567368 | total time: 286.292secs | previous time: 2.818secs
0.0142% is done | total is: 1224785312 | total time: 289.124secs | previous time: 2.831secs
0.0143% is done | total is: 1237810112 | total time: 292.040secs | previous time: 2.916secs
0.0144% is done | total is: 1250165096 | total time: 295.028secs | previous time: 2.988secs
0.0145% is done | total is: 1265031976 | total time: 297.945secs | previous time: 2.916secs
0.0146% is done | total is: 1277924728 | total time: 300.783secs | previous time: 2.838secs
0.0147% is done | total is: 1290809200 | total time: 303.693secs | previous time: 2.910secs
0.0148% is done | total is: 1304096536 | total time: 306.591secs | previous time: 2.897secs
0.0149% is done | total is: 1317240616 | total time: 309.517secs | previous time: 2.926secs
0.015% is done | total is: 1330433320 | total time: 312.423secs | previous time: 2.906secs
0.0151% is done | total is: 1342865608 | total time: 315.482secs | previous time: 3.058secs
0.0152% is done | total is: 1356054352 | total time: 319.143secs | previous time: 3.662secs
0.0153% is done | total is: 1369832560 | total time: 322.190secs | previous time: 3.046secs
0.0154% is done | total is: 1383165960 | total time: 325.183secs | previous time: 2.993secs
0.0155% is done | total is: 1396585392 | total time: 328.247secs | previous time: 3.064secs
0.0156% is done | total is: 1410489096 | total time: 331.269secs | previous time: 3.022secs
0.0157% is done | total is: 1424157984 | total time: 334.554secs | previous time: 3.284secs
0.0158% is done | total is: 1437213024 | total time: 337.789secs | previous time: 3.235secs
0.0159% is done | total is: 1451153064 | total time: 340.729secs | previous time: 2.940secs
0.016% is done | total is: 1465124472 | total time: 344.333secs | previous time: 3.604secs
0.0161% is done | total is: 1479119688 | total time: 347.700secs | previous time: 3.367secs
0.0162% is done | total is: 1492345968 | total time: 350.683secs | previous time: 2.983secs
0.0163% is done | total is: 1506631688 | total time: 353.753secs | previous time: 3.069secs
0.0164% is done | total is: 1520684432 | total time: 357.018secs | previous time: 3.265secs
0.0165% is done | total is: 1535050208 | total time: 360.141secs | previous time: 3.123secs
0.0166% is done | total is: 1548932216 | total time: 363.187secs | previous time: 3.046secs
0.0167% is done | total is: 1562964200 | total time: 366.894secs | previous time: 3.707secs
0.0168% is done | total is: 1577449424 | total time: 370.003secs | previous time: 3.109secs
0.0169% is done | total is: 1590532088 | total time: 373.086secs | previous time: 3.082secs
0.017% is done | total is: 1604221064 | total time: 376.237secs | previous time: 3.151secs
0.0171% is done | total is: 1618575344 | total time: 384.856secs | previous time: 8.619secs
0.0172% is done | total is: 1633815736 | total time: 393.643secs | previous time: 8.787secs
0.0173% is done | total is: 1648580656 | total time: 402.523secs | previous time: 8.879secs
0.0174% is done | total is: 1662306064 | total time: 410.792secs | previous time: 8.269secs
0.0175% is done | total is: 1675604608 | total time: 415.084secs | previous time: 4.292secs
0.0176% is done | total is: 1690707736 | total time: 418.309secs | previous time: 3.225secs
0.0177% is done | total is: 1705283104 | total time: 421.496secs | previous time: 3.187secs
0.0178% is done | total is: 1720636648 | total time: 424.850secs | previous time: 3.354secs
0.0179% is done | total is: 1734195232 | total time: 427.973secs | previous time: 3.123secs
0.018% is done | total is: 1748323504 | total time: 431.121secs | previous time: 3.148secs
0.0181% is done | total is: 1763811024 | total time: 434.440secs | previous time: 3.319secs
0.0182% is done | total is: 1778138760 | total time: 437.701secs | previous time: 3.260secs
0.0183% is done | total is: 1792520904 | total time: 440.949secs | previous time: 3.248secs
0.0184% is done | total is: 1807810512 | total time: 444.200secs | previous time: 3.251secs
0.0185% is done | total is: 1823196024 | total time: 447.453secs | previous time: 3.253secs
0.0186% is done | total is: 1836441648 | total time: 450.765secs | previous time: 3.312secs
0.0187% is done | total is: 1851598320 | total time: 454.118secs | previous time: 3.353secs
0.0188% is done | total is: 1867599072 | total time: 457.307secs | previous time: 3.189secs
0.0189% is done | total is: 1881251544 | total time: 460.516secs | previous time: 3.208secs
0.019% is done | total is: 1896111152 | total time: 464.338secs | previous time: 3.823secs
0.0191% is done | total is: 1913038136 | total time: 468.757secs | previous time: 4.418secs
0.0192% is done | total is: 1925544512 | total time: 473.687secs | previous time: 4.930secs
0.0193% is done | total is: 1942851176 | total time: 478.620secs | previous time: 4.933secs
0.0194% is done | total is: 1955759840 | total time: 483.058secs | previous time: 4.437secs
0.0195% is done | total is: 1972538000 | total time: 486.355secs | previous time: 3.297secs
0.0196% is done | total is: 1986296864 | total time: 489.562secs | previous time: 3.207secs
0.0197% is done | total is: 2002657760 | total time: 492.889secs | previous time: 3.327secs
0.0198% is done | total is: 2018053520 | total time: 496.209secs | previous time: 3.320secs
0.0199% is done | total is: 2032595104 | total time: 499.534secs | previous time: 3.325secs
0.02% is done | total is: 2048699896 | total time: 502.955secs | previous time: 3.421secs
0.0201% is done | total is: 2063344072 | total time: 506.277secs | previous time: 3.323secs
0.0202% is done | total is: 2079275848 | total time: 509.716secs | previous time: 3.438secs
0.0203% is done | total is: 2094021496 | total time: 513.319secs | previous time: 3.603secs
0.0204% is done | total is: 2109760144 | total time: 516.666secs | previous time: 3.347secs
0.0205% is done | total is: 2125290160 | total time: 519.993secs | previous time: 3.326secs
0.0206% is done | total is: 2140935664 | total time: 523.372secs | previous time: 3.379secs
0.0207% is done | total is: 2156298136 | total time: 526.815secs | previous time: 3.443secs
0.0208% is done | total is: 2172310296 | total time: 530.178secs | previous time: 3.363secs
0.0209% is done | total is: 2187892488 | total time: 533.494secs | previous time: 3.316secs
0.021% is done | total is: 2204590344 | total time: 536.932secs | previous time: 3.438secs
0.0211% is done | total is: 2219878896 | total time: 540.372secs | previous time: 3.440secs
0.0212% is done | total is: 2236626264 | total time: 543.852secs | previous time: 3.480secs
0.0213% is done | total is: 2250696264 | total time: 547.389secs | previous time: 3.537secs
0.0214% is done | total is: 2266370712 | total time: 550.735secs | previous time: 3.346secs
0.0215% is done | total is: 2282989032 | total time: 554.247secs | previous time: 3.512secs
0.0216% is done | total is: 2298785904 | total time: 557.665secs | previous time: 3.418secs
0.0217% is done | total is: 2315436200 | total time: 561.188secs | previous time: 3.523secs
0.0218% is done | total is: 2331881720 | total time: 564.729secs | previous time: 3.541secs
0.0219% is done | total is: 2346454184 | total time: 568.264secs | previous time: 3.535secs
0.022% is done | total is: 2363595656 | total time: 571.784secs | previous time: 3.520secs
0.0221% is done | total is: 2379342368 | total time: 575.118secs | previous time: 3.334secs
0.0222% is done | total is: 2394941096 | total time: 578.635secs | previous time: 3.517secs
0.0223% is done | total is: 2412065864 | total time: 582.087secs | previous time: 3.452secs
0.0224% is done | total is: 2428302632 | total time: 585.535secs | previous time: 3.448secs
0.0225% is done | total is: 2443251872 | total time: 589.036secs | previous time: 3.501secs
0.0226% is done | total is: 2461234696 | total time: 592.593secs | previous time: 3.557secs
0.0227% is done | total is: 2476543288 | total time: 596.183secs | previous time: 3.590secs
0.0228% is done | total is: 2491609816 | total time: 599.735secs | previous time: 3.552secs
0.0229% is done | total is: 2510312776 | total time: 603.316secs | previous time: 3.581secs
0.023% is done | total is: 2526413608 | total time: 606.843secs | previous time: 3.527secs
0.0231% is done | total is: 2541320368 | total time: 610.310secs | previous time: 3.467secs
0.0232% is done | total is: 2560870600 | total time: 613.991secs | previous time: 3.681secs
0.0233% is done | total is: 2576268640 | total time: 617.710secs | previous time: 3.719secs
0.0234% is done | total is: 2592110200 | total time: 621.223secs | previous time: 3.513secs
0.0235% is done | total is: 2607382680 | total time: 624.779secs | previous time: 3.556secs
0.0236% is done | total is: 2626621104 | total time: 628.393secs | previous time: 3.614secs
0.0237% is done | total is: 2641994808 | total time: 631.968secs | previous time: 3.576secs
0.0238% is done | total is: 2657767512 | total time: 635.486secs | previous time: 3.518secs
0.0239% is done | total is: 2675396928 | total time: 639.056secs | previous time: 3.570secs
0.024% is done | total is: 2693439984 | total time: 642.690secs | previous time: 3.634secs
0.0241% is done | total is: 2709376560 | total time: 646.446secs | previous time: 3.756secs
0.0242% is done | total is: 2725605240 | total time: 651.095secs | previous time: 4.648secs
0.0243% is done | total is: 2742858360 | total time: 654.790secs | previous time: 3.696secs
0.0244% is done | total is: 2760805064 | total time: 658.520secs | previous time: 3.730secs
0.0245% is done | total is: 2777242904 | total time: 662.478secs | previous time: 3.958secs
0.0246% is done | total is: 2795042552 | total time: 666.295secs | previous time: 3.817secs
0.0247% is done | total is: 2811004688 | total time: 670.101secs | previous time: 3.806secs
0.0248% is done | total is: 2827445312 | total time: 673.809secs | previous time: 3.709secs
0.0249% is done | total is: 2844350528 | total time: 677.562secs | previous time: 3.753secs
0.025% is done | total is: 2864066360 | total time: 681.227secs | previous time: 3.665secs
0.0251% is done | total is: 2880290552 | total time: 684.943secs | previous time: 3.716secs
0.0252% is done | total is: 2897178968 | total time: 688.718secs | previous time: 3.775secs
0.0253% is done | total is: 2914144456 | total time: 692.582secs | previous time: 3.864secs
0.0254% is done | total is: 2930501440 | total time: 696.247secs | previous time: 3.666secs
0.0255% is done | total is: 2947834168 | total time: 700.011secs | previous time: 3.763secs
0.0256% is done | total is: 2965193200 | total time: 703.908secs | previous time: 3.898secs
0.0257% is done | total is: 2983853608 | total time: 707.775secs | previous time: 3.867secs
0.0258% is done | total is: 3001758712 | total time: 718.619secs | previous time: 10.844secs
0.0259% is done | total is: 3019396744 | total time: 729.654secs | previous time: 11.035secs
0.026% is done | total is: 3036496024 | total time: 740.637secs | previous time: 10.984secs
0.0261% is done | total is: 3053611816 | total time: 751.560secs | previous time: 10.923secs
0.0262% is done | total is: 3070299672 | total time: 762.705secs | previous time: 11.145secs
0.0263% is done | total is: 3088312224 | total time: 773.536secs | previous time: 10.832secs
0.0264% is done | total is: 3105531312 | total time: 784.690secs | previous time: 11.154secs
0.0265% is done | total is: 3123994272 | total time: 795.597secs | previous time: 10.907secs
0.0266% is done | total is: 3140611752 | total time: 806.688secs | previous time: 11.091secs
0.0267% is done | total is: 3161060472 | total time: 817.703secs | previous time: 11.016secs
0.0268% is done | total is: 3179047368 | total time: 828.963secs | previous time: 11.260secs
0.0269% is done | total is: 3195267672 | total time: 839.951secs | previous time: 10.989secs
0.027% is done | total is: 3213190368 | total time: 851.164secs | previous time: 11.213secs
0.0271% is done | total is: 3232969568 | total time: 862.069secs | previous time: 10.905secs
0.0272% is done | total is: 3250293128 | total time: 873.035secs | previous time: 10.966secs
0.0273% is done | total is: 3267133448 | total time: 884.454secs | previous time: 11.419secs
0.0274% is done | total is: 3285478448 | total time: 895.883secs | previous time: 11.429secs
0.0275% is done | total is: 3303035528 | total time: 906.874secs | previous time: 10.991secs
0.0276% is done | total is: 3321012344 | total time: 918.297secs | previous time: 11.422secs
0.0277% is done | total is: 3338410328 | total time: 929.559secs | previous time: 11.263secs
0.0278% is done | total is: 3356356712 | total time: 940.952secs | previous time: 11.392secs
0.0279% is done | total is: 3376218104 | total time: 952.408secs | previous time: 11.456secs
0.028% is done | total is: 3394915792 | total time: 963.749secs | previous time: 11.341secs
0.0281% is done | total is: 3411860992 | total time: 975.220secs | previous time: 11.471secs
0.0282% is done | total is: 3430292080 | total time: 986.748secs | previous time: 11.527secs
0.0283% is done | total is: 3448551784 | total time: 998.403secs | previous time: 11.655secs
0.0284% is done | total is: 3465768256 | total time: 1009.821secs | previous time: 11.418secs
0.0285% is done | total is: 3485192944 | total time: 1021.241secs | previous time: 11.419secs
0.0286% is done | total is: 3503647120 | total time: 1032.392secs | previous time: 11.152secs
0.0287% is done | total is: 3521829400 | total time: 1043.998secs | previous time: 11.605secs
0.0288% is done | total is: 3539356936 | total time: 1055.740secs | previous time: 11.742secs
0.0289% is done | total is: 3557731032 | total time: 1067.641secs | previous time: 11.901secs
0.029% is done | total is: 3576384624 | total time: 1078.190secs | previous time: 10.549secs
0.0291% is done | total is: 3593790816 | total time: 1089.871secs | previous time: 11.680secs
0.0292% is done | total is: 3613047336 | total time: 1100.091secs | previous time: 10.220secs
0.0293% is done | total is: 3631648776 | total time: 1108.305secs | previous time: 8.214secs
0.0294% is done | total is: 3649877832 | total time: 1120.302secs | previous time: 11.997secs
0.0295% is done | total is: 3670043160 | total time: 1131.772secs | previous time: 11.469secs
0.0296% is done | total is: 3688701168 | total time: 1143.620secs | previous time: 11.848secs
0.0297% is done | total is: 3706136520 | total time: 1155.301secs | previous time: 11.681secs
0.0298% is done | total is: 3726050072 | total time: 1167.155secs | previous time: 11.854secs
0.0299% is done | total is: 3745530968 | total time: 1179.027secs | previous time: 11.871secs
0.03% is done | total is: 3763853336 | total time: 1190.499secs | previous time: 11.472secs
0.0301% is done | total is: 3779916752 | total time: 1202.335secs | previous time: 11.836secs
0.0302% is done | total is: 3799677896 | total time: 1214.110secs | previous time: 11.775secs
0.0303% is done | total is: 3818051960 | total time: 1225.600secs | previous time: 11.489secs
0.0304% is done | total is: 3837596456 | total time: 1237.219secs | previous time: 11.619secs
0.0305% is done | total is: 3857914712 | total time: 1249.652secs | previous time: 12.433secs
0.0306% is done | total is: 3876829568 | total time: 1261.503secs | previous time: 11.851secs
0.0307% is done | total is: 3896365168 | total time: 1274.422secs | previous time: 12.919secs
0.0308% is done | total is: 3912594784 | total time: 1286.202secs | previous time: 11.780secs
0.0309% is done | total is: 3931895584 | total time: 1297.949secs | previous time: 11.747secs
0.031% is done | total is: 3951378784 | total time: 1311.673secs | previous time: 13.723secs
0.0311% is done | total is: 3971056672 | total time: 1323.429secs | previous time: 11.756secs
0.0312% is done | total is: 3990672160 | total time: 1334.349secs | previous time: 10.920secs
0.0313% is done | total is: 4010832088 | total time: 1345.148secs | previous time: 10.800secs
0.0314% is done | total is: 4030824760 | total time: 1356.263secs | previous time: 11.115secs
0.0315% is done | total is: 4047233848 | total time: 1367.915secs | previous time: 11.652secs
0.0316% is done | total is: 4066710888 | total time: 1378.935secs | previous time: 11.020secs
0.0317% is done | total is: 4086046944 | total time: 1390.368secs | previous time: 11.432secs
0.0318% is done | total is: 4107540504 | total time: 1401.516secs | previous time: 11.149secs
0.0319% is done | total is: 4127614992 | total time: 1412.408secs | previous time: 10.892secs
0.032% is done | total is: 4143751488 | total time: 1423.277secs | previous time: 10.869secs
0.0321% is done | total is: 4164344064 | total time: 1434.518secs | previous time: 11.242secs
0.0322% is done | total is: 4185294240 | total time: 1445.566secs | previous time: 11.048secs
0.0323% is done | total is: 4204371984 | total time: 1456.699secs | previous time: 11.133secs
0.0324% is done | total is: 4221655848 | total time: 1467.901secs | previous time: 11.203secs
0.0325% is done | total is: 4241379320 | total time: 1480.194secs | previous time: 12.293secs
0.0326% is done | total is: 4262868824 | total time: 1489.023secs | previous time: 8.829secs
0.0327% is done | total is: 4283336624 | total time: 1498.529secs | previous time: 9.506secs
0.0328% is done | total is: 4303407080 | total time: 1511.430secs | previous time: 12.902secs
0.0329% is done | total is: 4321174976 | total time: 1522.622secs | previous time: 11.192secs
0.033% is done | total is: 4340855936 | total time: 1533.960secs | previous time: 11.339secs
0.0331% is done | total is: 4361934728 | total time: 1545.166secs | previous time: 11.206secs
0.0332% is done | total is: 4381691096 | total time: 1556.291secs | previous time: 11.125secs
0.0333% is done | total is: 4400367680 | total time: 1568.037secs | previous time: 11.746secs
0.0334% is done | total is: 4421443576 | total time: 1579.315secs | previous time: 11.278secs
0.0335% is done | total is: 4441187152 | total time: 1591.108secs | previous time: 11.793secs
0.0336% is done | total is: 4462622104 | total time: 1602.541secs | previous time: 11.433secs
0.0337% is done | total is: 4479443152 | total time: 1617.295secs | previous time: 14.754secs
